Location,NAICS Code,NAICS Description,Total CBP and NES Establishments,CBP Establishments Percentage,NES Establishments Percentage,CBP Establishments
"Jackson,  North Carolina",7225,Restaurants and Other Eating Places,90,88.9,11.1,80
"Johnston,  North Carolina",7225,Restaurants and Other Eating Places,263,86.7,13.3,228
"Lee,  North Carolina",7225,Restaurants and Other Eating Places,109,88.1,11.9,96
"Lenoir,  North Carolina",7225,Restaurants and Other Eating Places,101,88.1,11.9,89
"Lincoln,  North Carolina",7225,Restaurants and Other Eating Places,123,88.6,11.4,109
"McDowell,  North Carolina",7225,Restaurants and Other Eating Places,71,87.3,12.7,62
"Macon,  North Carolina",7225,Restaurants and Other Eating Places,95,87.4,12.6,83
"Madison,  North Carolina",7225,Restaurants and Other Eating Places,32,81.3,18.8,26
"Martin,  North Carolina",7225,Restaurants and Other Eating Places,D,D,D,26
"Mecklenburg,  North Carolina",7225,Restaurants and Other Eating Places,"2,370",86.5,13.5,"2,051"
"Mitchell,  North Carolina",7225,Restaurants and Other Eating Places,37,75.7,24.3,28
"Montgomery,  North Carolina",7225,Restaurants and Other Eating Places,38,92.1,7.9,35
"Moore,  North Carolina",7225,Restaurants and Other Eating Places,206,87.4,12.6,180
"Nash,  North Carolina",7225,Restaurants and Other Eating Places,170,88.2,11.8,150
"New Hanover,  North Carolina",7225,Restaurants and Other Eating Places,648,90.4,9.6,586
"Northampton,  North Carolina",7225,Restaurants and Other Eating Places,25,68,32,17
"Onslow,  North Carolina",7225,Restaurants and Other Eating Places,320,88.8,11.3,284
"Orange,  North Carolina",7225,Restaurants and Other Eating Places,294,87.4,12.6,257
"Pamlico,  North Carolina",7225,Restaurants and Other Eating Places,D,D,D,27
"Pasquotank,  North Carolina",7225,Restaurants and Other Eating Places,89,85.4,14.6,76
"Pender,  North Carolina",7225,Restaurants and Other Eating Places,97,92.8,7.2,90
"Perquimans,  North Carolina",7225,Restaurants and Other Eating Places,D,D,D,10
"Person,  North Carolina",7225,Restaurants and Other Eating Places,49,83.7,16.3,41
"Pitt,  North Carolina",7225,Restaurants and Other Eating Places,348,91.7,8.3,319
"Polk,  North Carolina",7225,Restaurants and Other Eating Places,32,90.6,9.4,29
"Randolph,  North Carolina",7225,Restaurants and Other Eating Places,195,88.7,11.3,173
"Richmond,  North Carolina",7225,Restaurants and Other Eating Places,58,86.2,13.8,50
"Robeson,  North Carolina",7225,Restaurants and Other Eating Places,164,85.4,14.6,140
"Rockingham,  North Carolina",7225,Restaurants and Other Eating Places,146,87.7,12.3,128
"Rowan,  North Carolina",7225,Restaurants and Other Eating Places,214,90.2,9.8,193
"Rutherford,  North Carolina",7225,Restaurants and Other Eating Places,108,87,13,94
"Sampson,  North Carolina",7225,Restaurants and Other Eating Places,82,86.6,13.4,71
"Scotland,  North Carolina",7225,Restaurants and Other Eating Places,50,88,12,44
"Stanly,  North Carolina",7225,Restaurants and Other Eating Places,109,91.7,8.3,100
"Stokes,  North Carolina",7225,Restaurants and Other Eating Places,56,91.1,8.9,51
"Surry,  North Carolina",7225,Restaurants and Other Eating Places,161,84.5,15.5,136
"Swain,  North Carolina",7225,Restaurants and Other Eating Places,49,81.6,18.4,40
"Transylvania,  North Carolina",7225,Restaurants and Other Eating Places,61,85.2,14.8,52
"Tyrrell,  North Carolina",7225,Restaurants and Other Eating Places,D,D,D,4
"Union,  North Carolina",7225,Restaurants and Other Eating Places,304,86.8,13.2,264
"Vance,  North Carolina",7225,Restaurants and Other Eating Places,59,86.4,13.6,51
"Wake,  North Carolina",7225,Restaurants and Other Eating Places,"2,218",88.5,11.5,"1,962"
"Warren,  North Carolina",7225,Restaurants and Other Eating Places,24,83.3,16.7,20
"Washington,  North Carolina",7225,Restaurants and Other Eating Places,20,80,20,16
"Watauga,  North Carolina",7225,Restaurants and Other Eating Places,140,93.6,6.4,131
"Wayne,  North Carolina",7225,Restaurants and Other Eating Places,199,86.4,13.6,172
"Wilkes,  North Carolina",7225,Restaurants and Other Eating Places,91,92.3,7.7,84
"Wilson,  North Carolina",7225,Restaurants and Other Eating Places,129,89.9,10.1,116
"Yadkin,  North Carolina",7225,Restaurants and Other Eating Places,57,78.9,21.1,45
"Yancey,  North Carolina",7225,Restaurants and Other Eating Places,25,64,36,16
"Barnes,  North Dakota",7225,Restaurants and Other Eating Places,D,D,D,19
"Benson,  North Dakota",7225,Restaurants and Other Eating Places,D,D,D,4
"Bottineau,  North Dakota",7225,Restaurants and Other Eating Places,22,77.3,22.7,17
"Burke,  North Dakota",7225,Restaurants and Other Eating Places,6,50,50,3
"Burleigh,  North Dakota",7225,Restaurants and Other Eating Places,160,91.3,8.8,146
"Cass,  North Dakota",7225,Restaurants and Other Eating Places,309,94.8,5.2,293
"Cavalier,  North Dakota",7225,Restaurants and Other Eating Places,D,D,D,9
"Dickey,  North Dakota",7225,Restaurants and Other Eating Places,D,D,D,7
"Dunn,  North Dakota",7225,Restaurants and Other Eating Places,D,D,D,4
"Emmons,  North Dakota",7225,Restaurants and Other Eating Places,9,55.6,44.4,5
"Foster,  North Dakota",7225,Restaurants and Other Eating Places,D,D,D,5
"Grand Forks,  North Dakota",7225,Restaurants and Other Eating Places,131,91.6,8.4,120
"Grant,  North Dakota",7225,Restaurants and Other Eating Places,D,D,D,1
"Hettinger,  North Dakota",7225,Restaurants and Other Eating Places,D,D,D,2
"Kidder,  North Dakota",7225,Restaurants and Other Eating Places,D,D,D,5
"LaMoure,  North Dakota",7225,Restaurants and Other Eating Places,12,66.7,33.3,8
"Logan,  North Dakota",7225,Restaurants and Other Eating Places,7,28.6,71.4,2
"McHenry,  North Dakota",7225,Restaurants and Other Eating Places,D,D,D,5
"McKenzie,  North Dakota",7225,Restaurants and Other Eating Places,22,86.4,13.6,19
"Mercer,  North Dakota",7225,Restaurants and Other Eating Places,D,D,D,16
"Morton,  North Dakota",7225,Restaurants and Other Eating Places,33,81.8,18.2,27
"Mountrail,  North Dakota",7225,Restaurants and Other Eating Places,25,76,24,19
"Nelson,  North Dakota",7225,Restaurants and Other Eating Places,D,D,D,6
"Pembina,  North Dakota",7225,Restaurants and Other Eating Places,D,D,D,6
"Ramsey,  North Dakota",7225,Restaurants and Other Eating Places,D,D,D,30
"Ransom,  North Dakota",7225,Restaurants and Other Eating Places,D,D,D,9
"Renville,  North Dakota",7225,Restaurants and Other Eating Places,D,D,D,4
"Richland,  North Dakota",7225,Restaurants and Other Eating Places,28,85.7,14.3,24
"Rolette,  North Dakota",7225,Restaurants and Other Eating Places,14,78.6,21.4,11
"Sargent,  North Dakota",7225,Restaurants and Other Eating Places,D,D,D,2
"Sioux,  North Dakota",7225,Restaurants and Other Eating Places,6,50,50,3
"Stark,  North Dakota",7225,Restaurants and Other Eating Places,59,89.8,10.2,53
"Stutsman,  North Dakota",7225,Restaurants and Other Eating Places,50,92,8,46
"Towner,  North Dakota",7225,Restaurants and Other Eating Places,D,D,D,5
"Walsh,  North Dakota",7225,Restaurants and Other Eating Places,20,70,30,14
"Ward,  North Dakota",7225,Restaurants and Other Eating Places,121,93.4,6.6,113
"Wells,  North Dakota",7225,Restaurants and Other Eating Places,D,D,D,12
"Williams,  North Dakota",7225,Restaurants and Other Eating Places,D,D,D,64
"Adams,  Ohio",7225,Restaurants and Other Eating Places,43,76.7,23.3,33
"Allen,  Ohio",7225,Restaurants and Other Eating Places,199,89.4,10.6,178
"Ashland,  Ohio",7225,Restaurants and Other Eating Places,68,91.2,8.8,62
"Ashtabula,  Ohio",7225,Restaurants and Other Eating Places,212,89.2,10.8,189
"Athens,  Ohio",7225,Restaurants and Other Eating Places,110,89.1,10.9,98
"Auglaize,  Ohio",7225,Restaurants and Other Eating Places,82,92.7,7.3,76
"Belmont,  Ohio",7225,Restaurants and Other Eating Places,112,92,8,103
"Brown,  Ohio",7225,Restaurants and Other Eating Places,55,83.6,16.4,46
"Butler,  Ohio",7225,Restaurants and Other Eating Places,618,90.8,9.2,561
"Carroll,  Ohio",7225,Restaurants and Other Eating Places,45,71.1,28.9,32
"Champaign,  Ohio",7225,Restaurants and Other Eating Places,51,80.4,19.6,41
"Clark,  Ohio",7225,Restaurants and Other Eating Places,199,91.5,8.5,182
"Clermont,  Ohio",7225,Restaurants and Other Eating Places,279,90.7,9.3,253
"Clinton,  Ohio",7225,Restaurants and Other Eating Places,79,72.2,27.8,57
"Columbiana,  Ohio",7225,Restaurants and Other Eating Places,163,88.3,11.7,144
"Coshocton,  Ohio",7225,Restaurants and Other Eating Places,45,77.8,22.2,35
"Crawford,  Ohio",7225,Restaurants and Other Eating Places,64,89.1,10.9,57
"Cuyahoga,  Ohio",7225,Restaurants and Other Eating Places,"2,765",87.4,12.6,"2,416"
"Darke,  Ohio",7225,Restaurants and Other Eating Places,76,82.9,17.1,63
"Defiance,  Ohio",7225,Restaurants and Other Eating Places,78,88.5,11.5,69
"Delaware,  Ohio",7225,Restaurants and Other Eating Places,413,88.9,11.1,367
"Erie,  Ohio",7225,Restaurants and Other Eating Places,205,88.8,11.2,182
"Fairfield,  Ohio",7225,Restaurants and Other Eating Places,250,81.6,18.4,204
"Fayette,  Ohio",7225,Restaurants and Other Eating Places,56,94.6,5.4,53
"Franklin,  Ohio",7225,Restaurants and Other Eating Places,"2,549",88.2,11.8,"2,248"
"Fulton,  Ohio",7225,Restaurants and Other Eating Places,70,88.6,11.4,62
"Gallia,  Ohio",7225,Restaurants and Other Eating Places,D,D,D,40
"Geauga,  Ohio",7225,Restaurants and Other Eating Places,154,86.4,13.6,133
"Greene,  Ohio",7225,Restaurants and Other Eating Places,290,92.4,7.6,268
"Guernsey,  Ohio",7225,Restaurants and Other Eating Places,78,83.3,16.7,65
"Hamilton,  Ohio",7225,Restaurants and Other Eating Places,"1,746",90.4,9.6,"1,579"
"Hancock,  Ohio",7225,Restaurants and Other Eating Places,147,95.9,4.1,141
"Hardin,  Ohio",7225,Restaurants and Other Eating Places,44,84.1,15.9,37
"Harrison,  Ohio",7225,Restaurants and Other Eating Places,23,69.6,30.4,16
"Henry,  Ohio",7225,Restaurants and Other Eating Places,D,D,D,48
"Highland,  Ohio",7225,Restaurants and Other Eating Places,55,89.1,10.9,49
"Hocking,  Ohio",7225,Restaurants and Other Eating Places,41,87.8,12.2,36
"Holmes,  Ohio",7225,Restaurants and Other Eating Places,44,81.8,18.2,36
"Huron,  Ohio",7225,Restaurants and Other Eating Places,103,88.3,11.7,91
"Jackson,  Ohio",7225,Restaurants and Other Eating Places,D,D,D,43
"Jefferson,  Ohio",7225,Restaurants and Other Eating Places,110,88.2,11.8,97
"Knox,  Ohio",7225,Restaurants and Other Eating Places,93,81.7,18.3,76
"Lake,  Ohio",7225,Restaurants and Other Eating Places,485,88.9,11.1,431
"Lawrence,  Ohio",7225,Restaurants and Other Eating Places,60,88.3,11.7,53
"Licking,  Ohio",7225,Restaurants and Other Eating Places,277,89.2,10.8,247
"Logan,  Ohio",7225,Restaurants and Other Eating Places,91,89,11,81
"Lorain,  Ohio",7225,Restaurants and Other Eating Places,433,91.5,8.5,396
"Lucas,  Ohio",7225,Restaurants and Other Eating Places,901,91.2,8.8,822
"Madison,  Ohio",7225,Restaurants and Other Eating Places,43,86,14,37
"Mahoning,  Ohio",7225,Restaurants and Other Eating Places,472,86.9,13.1,410
"Marion,  Ohio",7225,Restaurants and Other Eating Places,99,86.9,13.1,86
"Medina,  Ohio",7225,Restaurants and Other Eating Places,278,92.8,7.2,258
"Meigs,  Ohio",7225,Restaurants and Other Eating Places,D,D,D,20
"Mercer,  Ohio",7225,Restaurants and Other Eating Places,84,89.3,10.7,75
"Miami,  Ohio",7225,Restaurants and Other Eating Places,175,91.4,8.6,160
"Monroe,  Ohio",7225,Restaurants and Other Eating Places,20,80,20,16
"Montgomery,  Ohio",7225,Restaurants and Other Eating Places,"1,000",90.5,9.5,905
"Morgan,  Ohio",7225,Restaurants and Other Eating Places,17,70.6,29.4,12
"Morrow,  Ohio",7225,Restaurants and Other Eating Places,D,D,D,22
"Muskingum,  Ohio",7225,Restaurants and Other Eating Places,152,86.8,13.2,132
"Noble,  Ohio",7225,Restaurants and Other Eating Places,D,D,D,15
"Ottawa,  Ohio",7225,Restaurants and Other Eating Places,117,94,6,110
"Paulding,  Ohio",7225,Restaurants and Other Eating Places,26,76.9,23.1,20
"Perry,  Ohio",7225,Restaurants and Other Eating Places,38,84.2,15.8,32
"Pickaway,  Ohio",7225,Restaurants and Other Eating Places,59,91.5,8.5,54
"Pike,  Ohio",7225,Restaurants and Other Eating Places,D,D,D,30
"Portage,  Ohio",7225,Restaurants and Other Eating Places,277,92.4,7.6,256
"Preble,  Ohio",7225,Restaurants and Other Eating Places,58,84.5,15.5,49
"Putnam,  Ohio",7225,Restaurants and Other Eating Places,D,D,D,49
"Richland,  Ohio",7225,Restaurants and Other Eating Places,191,91.6,8.4,175
"Ross,  Ohio",7225,Restaurants and Other Eating Places,117,92.3,7.7,108
"Sandusky,  Ohio",7225,Restaurants and Other Eating Places,95,86.3,13.7,82
"Scioto,  Ohio",7225,Restaurants and Other Eating Places,125,92.8,7.2,116
"Seneca,  Ohio",7225,Restaurants and Other Eating Places,91,85.7,14.3,78
"Shelby,  Ohio",7225,Restaurants and Other Eating Places,68,89.7,10.3,61
"Stark,  Ohio",7225,Restaurants and Other Eating Places,736,89.3,10.7,657
"Summit,  Ohio",7225,Restaurants and Other Eating Places,"1,047",90.8,9.2,951
"Trumbull,  Ohio",7225,Restaurants and Other Eating Places,354,86.4,13.6,306
"Tuscarawas,  Ohio",7225,Restaurants and Other Eating Places,186,90.9,9.1,169
"Union,  Ohio",7225,Restaurants and Other Eating Places,78,83.3,16.7,65
"Van Wert,  Ohio",7225,Restaurants and Other Eating Places,44,88.6,11.4,39
"Vinton,  Ohio",7225,Restaurants and Other Eating Places,11,63.6,36.4,7
"Warren,  Ohio",7225,Restaurants and Other Eating Places,322,91.6,8.4,295
"Washington,  Ohio",7225,Restaurants and Other Eating Places,99,96,4,95
"Wayne,  Ohio",7225,Restaurants and Other Eating Places,171,89.5,10.5,153
"Williams,  Ohio",7225,Restaurants and Other Eating Places,56,91.1,8.9,51
"Wood,  Ohio",7225,Restaurants and Other Eating Places,259,93.4,6.6,242
"Wyandot,  Ohio",7225,Restaurants and Other Eating Places,39,89.7,10.3,35
"Adair,  Oklahoma",7225,Restaurants and Other Eating Places,D,D,D,18
"Alfalfa,  Oklahoma",7225,Restaurants and Other Eating Places,12,66.7,33.3,8
"Atoka,  Oklahoma",7225,Restaurants and Other Eating Places,22,77.3,22.7,17
"Beaver,  Oklahoma",7225,Restaurants and Other Eating Places,9,55.6,44.4,5
"Beckham,  Oklahoma",7225,Restaurants and Other Eating Places,54,81.5,18.5,44
"Blaine,  Oklahoma",7225,Restaurants and Other Eating Places,D,D,D,14
"Bryan,  Oklahoma",7225,Restaurants and Other Eating Places,59,88.1,11.9,52
"Caddo,  Oklahoma",7225,Restaurants and Other Eating Places,46,69.6,30.4,32
"Canadian,  Oklahoma",7225,Restaurants and Other Eating Places,196,86.7,13.3,170
"Carter,  Oklahoma",7225,Restaurants and Other Eating Places,101,83.2,16.8,84
"Cherokee,  Oklahoma",7225,Restaurants and Other Eating Places,73,78.1,21.9,57
"Choctaw,  Oklahoma",7225,Restaurants and Other Eating Places,24,75,25,18
"Cimarron,  Oklahoma",7225,Restaurants and Other Eating Places,9,44.4,55.6,4
"Cleveland,  Oklahoma",7225,Restaurants and Other Eating Places,508,89,11,452
"Coal,  Oklahoma",7225,Restaurants and Other Eating Places,D,D,D,7
"Comanche,  Oklahoma",7225,Restaurants and Other Eating Places,230,83.5,16.5,192
"Cotton,  Oklahoma",7225,Restaurants and Other Eating Places,D,D,D,6
"Craig,  Oklahoma",7225,Restaurants and Other Eating Places,27,77.8,22.2,21
"Creek,  Oklahoma",7225,Restaurants and Other Eating Places,89,79.8,20.2,71
"Custer,  Oklahoma",7225,Restaurants and Other Eating Places,68,89.7,10.3,61
"Delaware,  Oklahoma",7225,Restaurants and Other Eating Places,56,78.6,21.4,44
"Dewey,  Oklahoma",7225,Restaurants and Other Eating Places,D,D,D,4
"Ellis,  Oklahoma",7225,Restaurants and Other Eating Places,D,D,D,6
"Garfield,  Oklahoma",7225,Restaurants and Other Eating Places,109,82.6,17.4,90
"Garvin,  Oklahoma",7225,Restaurants and Other Eating Places,63,71.4,28.6,45
"Grady,  Oklahoma",7225,Restaurants and Other Eating Places,74,81.1,18.9,60
"Grant,  Oklahoma",7225,Restaurants and Other Eating Places,D,D,D,2
"Greer,  Oklahoma",7225,Restaurants and Other Eating Places,10,50,50,5
"Harper,  Oklahoma",7225,Restaurants and Other Eating Places,7,28.6,71.4,2
"Haskell,  Oklahoma",7225,Restaurants and Other Eating Places,23,47.8,52.2,11
"Hughes,  Oklahoma",7225,Restaurants and Other Eating Places,18,77.8,22.2,14
"Jackson,  Oklahoma",7225,Restaurants and Other Eating Places,47,80.9,19.1,38
"Jefferson,  Oklahoma",7225,Restaurants and Other Eating Places,D,D,D,8
"Johnston,  Oklahoma",7225,Restaurants and Other Eating Places,15,53.3,46.7,8
"Kay,  Oklahoma",7225,Restaurants and Other Eating Places,95,85.3,14.7,81
"Kingfisher,  Oklahoma",7225,Restaurants and Other Eating Places,36,77.8,22.2,28
"Kiowa,  Oklahoma",7225,Restaurants and Other Eating Places,15,60,40,9
"Latimer,  Oklahoma",7225,Restaurants and Other Eating Places,12,33.3,66.7,4
"Le Flore,  Oklahoma",7225,Restaurants and Other Eating Places,54,70.4,29.6,38
"Lincoln,  Oklahoma",7225,Restaurants and Other Eating Places,49,85.7,14.3,42
"Logan,  Oklahoma",7225,Restaurants and Other Eating Places,50,84,16,42
"Love,  Oklahoma",7225,Restaurants and Other Eating Places,D,D,D,18
"McClain,  Oklahoma",7225,Restaurants and Other Eating Places,65,81.5,18.5,53
"McCurtain,  Oklahoma",7225,Restaurants and Other Eating Places,51,72.5,27.5,37
"McIntosh,  Oklahoma",7225,Restaurants and Other Eating Places,42,57.1,42.9,24
"Major,  Oklahoma",7225,Restaurants and Other Eating Places,D,D,D,6
"Marshall,  Oklahoma",7225,Restaurants and Other Eating Places,27,77.8,22.2,21
"Mayes,  Oklahoma",7225,Restaurants and Other Eating Places,81,82.7,17.3,67
"Murray,  Oklahoma",7225,Restaurants and Other Eating Places,33,84.8,15.2,28
"Muskogee,  Oklahoma",7225,Restaurants and Other Eating Places,159,67.3,32.7,107
"Noble,  Oklahoma",7225,Restaurants and Other Eating Places,D,D,D,14
"Okfuskee,  Oklahoma",7225,Restaurants and Other Eating Places,14,50,50,7
"Oklahoma,  Oklahoma",7225,Restaurants and Other Eating Places,"1,811",86.1,13.9,"1,559"
"Okmulgee,  Oklahoma",7225,Restaurants and Other Eating Places,55,72.7,27.3,40
"Osage,  Oklahoma",7225,Restaurants and Other Eating Places,51,72.5,27.5,37
"Ottawa,  Oklahoma",7225,Restaurants and Other Eating Places,52,84.6,15.4,44
"Pawnee,  Oklahoma",7225,Restaurants and Other Eating Places,19,73.7,26.3,14
"Payne,  Oklahoma",7225,Restaurants and Other Eating Places,143,91.6,8.4,131
"Pittsburg,  Oklahoma",7225,Restaurants and Other Eating Places,92,76.1,23.9,70
